 x y z label
112 3 13 0 149
113 3 14 0 0
114 3 15 0 0
115 3 16 0 0
116 3 17 0 0
117 3 18 0 0
118 3 19 0 0
119 3 20 0 0
120 3 21 0 0
121 3 22 0 0
122 3 23 0 0
123 3 24 0 0
124 3 25 0 0
125 3 26 0 0
126 3 27 0 206
127 3 28 0 206
128 3 29 0 0
129 3 30 0 0
130 3 31 0 0
131 3 32 0 0
132 4 0 0 0
133 4 1 0 0
134 4 2 0 0
135 4 3 0 0
136 4 4 0 0
137 4 5 0 0
138 4 6 0 0
139 4 7 0 0
140 4 8 0 0
141 4 9 0 0
142 4 10 0 0
143 4 11 0 149
144 4 12 0 149
145 4 13 0 0
146 4 14 0 241
147 4 15 0 0
148 4 16 0 0
149 4 17 0 0
150 4 18 0 245
151 4 19 0 0
152 4 20 0 50
153 4 21 0 50
154 4 22 0 50
155 4 23 0 50
156 4 24 0 0
157 4 25 0 0
158 4 26 0 0
159 4 27 0 206
160 4 28 0 206
161 4 29 0 206
162 4 30 0 0
163 4 31 0 0
164 4 32 0 0
165 5 0 0 0
166 5 1 0 266
167 5 2 0 0
168 5 3 0 0
169 5 4 0 0
170 5 5 0 0
171 5 6 0 0
172 5 7 0 0
173 5 8 0 0
174 5 9 0 0
175 5 10 0 0
176 5 11 0 0
177 5 12 0 0
178 5 13 0 0
179 5 14 0 0
180 5 15 0 0
181 5 16 0 0
182 5 17 0 245
183 5 18 0 245
184 5 19 0 0
185 5 20 0 50
186 5 21 0 50
187 5 22 0 50
188 5 23 0 50
189 5 24 0 0
190 5 25 0 0
191 5 26 0 0
192 5 27 0 206
193 5 28 0 206
194 5 29 0 206
195 5 30 0 0
196 5 31 0 0
197 5 32 0 0
198 6 0 0 0
199 6 1 0 0
200 6 2 0 0
201 6 3 0 0
202 6 4 0 0
203 6 5 0 0
204 6 6 0 225
205 6 7 0 225
206 6 8 0 225
207 6 9 0 225
208 6 10 0 0
209 6 11 0 321
210 6 12 0 0
211 6 13 0 0
212 6 14 0 0
213 6 15 0 0
214 6 16 0 245
215 6 17 0 245
216 6 18 0 245
217 6 19 0 0
218 6 20 0 50
219 6 21 0 0
220 6 22 0 0
221 6 23 0 0
222 6 24 0 0
223 6 25 0 206
224 6 26 0 0
225 6 27 0 206
226 6 28 0 0
227 6 29 0 206
228 6 30 0 0
229 6 31 0 0
230 6 32 0 0
231 7 0 0 0
232 7 1 0 0
233 7 2 0 0
234 7 3 0 0
235 7 4 0 0
236 7 5 0 0
237 7 6 0 225
238 7 7 0 225
239 7 8 0 225
240 7 9 0 0
241 7 10 0 0
242 7 11 0 321
243 7 12 0 0
244 7 13 0 0
245 7 14 0 368
246 7 15 0 0
247 7 16 0 0
248 7 17 0 245
249 7 18 0 0
250 7 19 0 0
251 7 20 0 0
252 7 21 0 0
253 7 22 0 0
254 7 23 0 0
255 7 24 0 0
256 7 25 0 0
257 7 26 0 0
258 7 27 0 0
259 7 28 0 0
260 7 29 0 0
261 7 30 0 0
262 7 31 0 0
263 7 32 0 0
264 8 0 0 0
265 8 1 0 0
266 8 2 0 0
267 8 3 0 0
268 8 4 0 0
269 8 5 0 0
270 8 6 0 0
271 8 7 0 0
272 8 8 0 0
273 8 9 0 400
274 8 10 0 0
275 8 11 0 0
276 8 12 0 0
277 8 13 0 0
278 8 14 0 0
279 8 15 0 414
280 8 16 0 417
281 8 17 0 0
282 8 18 0 0
283 8 19 0 0
284 8 20 0 0
285 8 21 0 0
286 8 22 0 0
287 8 23 0 0
288 8 24 0 0
289 8 25 0 0
290 8 26 0 0
291 8 27 0 0
292 8 28 0 0
293 8 29 0 0
294 8 30 0 0
295 8 31 0 434
296 8 32 0 0
297 9 0 0 0
298 9 1 0 0
299 9 2 0 0
300 9 3 0 0
301 9 4 0 0
302 9 5 0 0
303 9 6 0 0
304 9 7 0 0
305 9 8 0 0
306 9 9 0 0
307 9 10 0 0
308 9 11 0 0
309 9 12 0 0
310 9 13 0 0
311 9 14 0 0
312 9 15 0 0
313 9 16 0 0
314 9 17 0 0
315 9 18 0 0
316 9 19 0 0
317 9 20 0 0
318 9 21 0 0
