atom1 bx by bz nx ny nz
716 -0.168106 0.433901 -0.885138 2 15 10
717 -0.0582776 0.437639 -0.89726 2 15 10
718 -0.128895 0.247033 -0.960396 2 15 9
719 -0.901028 0.419711 0.109506 2 15 9
720 -0.873219 0.487107 0.0146775 2 15 9
721 -0.707797 0.678729 0.195834 2 16 9
722 -0.667083 0.728072 0.157831 1 16 9
723 -0.695884 0.663744 0.274207 1 16 9
724 -0.793819 0.607132 0.0352432 1 16 9
725 -0.891204 0.446555 0.079644 1 16 9
726 -0.945273 0.320425 0.0615447 1 16 9
727 -0.462154 0.654655 0.598197 0 17 10
728 -0.930807 -0.178028 0.319225 0 17 10
729 -0.901676 -0.352479 0.250477 0 17 10
730 -0.906112 -0.247625 0.34299 0 16 10
731 -0.90266 -0.232772 0.36197 0 16 10
732 -0.843697 -0.266547 0.46597 0 16 10
733 -0.866328 -0.273577 0.417889 0 16 10
734 -0.357343 -0.92742 0.110446 0 16 10
735 -0.73626 -0.114606 0.666924 0 16 10
736 -0.873759 -0.120449 0.471209 0 16 10
737 -0.824462 -0.189427 0.533272 0 16 11
738 -0.861659 -0.0176863 0.507179 0 16 11
739 -0.897939 -0.0817913 0.432454 0 16 11
740 -0.854744 -0.156491 0.494897 0 16 11
741 -0.750886 -0.153712 0.642295 0 16 11
1001 0.107796 -0.735775 -0.668592 0 20 23
1002 0.133859 -0.823601 -0.551147 0 20 23
1003 0.194858 -0.829084 -0.524071 0 20 22
1004 0.122254 -0.85657 -0.501339 0 20 22
1005 0.32042 -0.825523 -0.464588 0 20 22
1006 0.231364 -0.809475 -0.53965 0 19 22
1007 0.19123 -0.781664 -0.593661 0 19 22
1008 0.240347 -0.809885 -0.535088 0 19 22
1009 0.347802 -0.663672 -0.662248 0 19 22
1010 0.335365 -0.76987 -0.542982 0 19 21
1011 0.229675 -0.798309 -0.556734 0 18 21
1012 0.308998 -0.79833 -0.516903 0 18 21
1013 0.252709 -0.840585 -0.479119 0 18 21
1014 0.394194 -0.750711 -0.530136 0 18 21
1015 0.360039 -0.827232 -0.431345 0 18 21
1016 0.400818 -0.725218 -0.559825 0 17 21
1017 0.482821 -0.741031 -0.466644 0 17 21
1018 0.460226 -0.778068 -0.427554 0 17 20
1019 0.779498 -0.190317 -0.596794 0 17 20
1020 0.687141 -0.173203 -0.705576 0 17 20
1021 0.711783 -0.6859 0.15135 0 17 20
1022 0.991976 -0.0703572 0.105037 0 17 20
1023 0.509965 0.851002 -0.125422 0 17 20
1024 0.885179 -0.363957 -0.289817 0 17 20
1025 0.977247 -0.15912 -0.140245 0 17 20
1026 0.985545 -0.143002 -0.0908391 1 17 20
1027 0.983516 -0.178361 -0.0297268 1 17 20
